PDE Actual Peak Mem Usage, degree, level 1, level 2, level 3, level 4, level 5, level 6, level 7, level 8
, 2, 0.07484, 0.07484, 0.07484, 0.07484, 0.07484, 0.07484, 0.07484, 0.07484
, 3, 0.07484, 0.07484, 0.07484, 0.07484, 0.07484, 0.07484, 0.07484, 0.07484
, 4, 0.07484, 0.07484, 0.07484, 0.07484, 0.07484, 0.07484, 0.07484, 0.07484
, 5, 0.07484, 0.07484, 0.07484, 0.07484, 0.07484, 0.07484, 0.07484, 0.07484
, 6, 0.07484, 0.07484, 0.07484, 0.07484, 0.07484, 0.07484, 0.07484, 0.07484
PDE Workspace Usage, , , , , , , , , 
, , , , , , , , , 
, , , , , , , , , 
, , , , , , , , , 
, , , , , , , , , 
, , , , , , , , , 
